"Step","avg_sampling - eval/loss","avg_sampling - eval/loss__MIN","avg_sampling - eval/loss__MAX","up_sampling - eval/loss","up_sampling - eval/loss__MIN","up_sampling - eval/loss__MAX","base_no_upsampling - eval/loss","base_no_upsampling - eval/loss__MIN","base_no_upsampling - eval/loss__MAX"
"1","10.0861234664917","10.0861234664917","10.0861234664917","10.079268455505371","10.079268455505371","10.079268455505371","9.93600082397461","9.93600082397461","9.93600082397461"
"3","9.33642864227295","9.33642864227295","9.33642864227295","9.37373161315918","9.37373161315918","9.37373161315918","NaN","",""
"5","8.968999862670898","8.968999862670898","8.968999862670898","8.989163398742676","8.989163398742676","8.989163398742676","8.704410552978516","8.704410552978516","8.704410552978516"
"7","8.615171432495117","8.615171432495117","8.615171432495117","8.635955810546875","8.635955810546875","8.635955810546875","8.27563190460205","8.27563190460205","8.27563190460205"
"9","NaN","","","8.325800895690918","8.325800895690918","8.325800895690918","7.976635932922363","7.976635932922363","7.976635932922363"
"11","8.06551742553711","8.06551742553711","8.06551742553711","8.0906982421875","8.0906982421875","8.0906982421875","7.765238285064697","7.765238285064697","7.765238285064697"
"13","7.900313377380371","7.900313377380371","7.900313377380371","7.960237503051758","7.960237503051758","7.960237503051758","7.629335403442383","7.629335403442383","7.629335403442383"
"15","7.821383476257324","7.821383476257324","7.821383476257324","7.794249057769775","7.794249057769775","7.794249057769775","7.541428089141846","7.541428089141846","7.541428089141846"
"17","7.73865270614624","7.73865270614624","7.73865270614624","7.764429092407227","7.764429092407227","7.764429092407227","7.432831764221191","7.432831764221191","7.432831764221191"
"19","7.63430118560791","7.63430118560791","7.63430118560791","7.706866264343262","7.706866264343262","7.706866264343262","7.402474880218506","7.402474880218506","7.402474880218506"
"21","7.603076934814453","7.603076934814453","7.603076934814453","7.644835472106934","7.644835472106934","7.644835472106934","7.36118745803833","7.36118745803833","7.36118745803833"
"23","7.64031457901001","7.64031457901001","7.64031457901001","7.584423065185547","7.584423065185547","7.584423065185547","7.283310890197754","7.283310890197754","7.283310890197754"
"25","7.545816421508789","7.545816421508789","7.545816421508789","7.568253040313721","7.568253040313721","7.568253040313721","7.292527675628662","7.292527675628662","7.292527675628662"
"27","7.537030220031738","7.537030220031738","7.537030220031738","7.533244609832764","7.533244609832764","7.533244609832764","7.274479866027832","7.274479866027832","7.274479866027832"
"29","7.493332386016846","7.493332386016846","7.493332386016846","7.560694694519043","7.560694694519043","7.560694694519043","7.22718620300293","7.22718620300293","7.22718620300293"
"31","7.491737365722656","7.491737365722656","7.491737365722656","NaN","","","7.17300271987915","7.17300271987915","7.17300271987915"
"33","7.457586765289307","7.457586765289307","7.457586765289307","7.507594108581543","7.507594108581543","7.507594108581543","7.195345878601074","7.195345878601074","7.195345878601074"
"35","7.433389186859131","7.433389186859131","7.433389186859131","7.41643762588501","7.41643762588501","7.41643762588501","7.076302528381348","7.076302528381348","7.076302528381348"
"37","NaN","","","NaN","","","NaN","",""
"39","7.394893646240234","7.394893646240234","7.394893646240234","7.376667022705078","7.376667022705078","7.376667022705078","6.994929313659668","6.994929313659668","6.994929313659668"
"41","7.3518900871276855","7.3518900871276855","7.3518900871276855","7.360387802124023","7.360387802124023","7.360387802124023","6.968673229217529","6.968673229217529","6.968673229217529"
"43","7.380432605743408","7.380432605743408","7.380432605743408","7.3238396644592285","7.3238396644592285","7.3238396644592285","6.926027297973633","6.926027297973633","6.926027297973633"
"45","7.309291839599609","7.309291839599609","7.309291839599609","7.38364839553833","7.38364839553833","7.38364839553833","NaN","",""
"47","7.290608882904053","7.290608882904053","7.290608882904053","7.340216159820557","7.340216159820557","7.340216159820557","6.880375385284424","6.880375385284424","6.880375385284424"
"49","7.299866199493408","7.299866199493408","7.299866199493408","7.278424263000488","7.278424263000488","7.278424263000488","NaN","",""
"51","7.227336883544922","7.227336883544922","7.227336883544922","7.242321491241455","7.242321491241455","7.242321491241455","6.788372993469238","6.788372993469238","6.788372993469238"
"53","7.223776817321777","7.223776817321777","7.223776817321777","7.205503463745117","7.205503463745117","7.205503463745117","6.755161762237549","6.755161762237549","6.755161762237549"
"55","7.183666706085205","7.183666706085205","7.183666706085205","7.172723293304443","7.172723293304443","7.172723293304443","6.690305709838867","6.690305709838867","6.690305709838867"
"57","7.121340751647949","7.121340751647949","7.121340751647949","7.130740165710449","7.130740165710449","7.130740165710449","6.653631687164307","6.653631687164307","6.653631687164307"
"59","7.128718852996826","7.128718852996826","7.128718852996826","7.096181869506836","7.096181869506836","7.096181869506836","6.615597724914551","6.615597724914551","6.615597724914551"
"61","7.078016757965088","7.078016757965088","7.078016757965088","7.071191787719727","7.071191787719727","7.071191787719727","6.590502738952637","6.590502738952637","6.590502738952637"
"63","7.027663707733154","7.027663707733154","7.027663707733154","6.999673843383789","6.999673843383789","6.999673843383789","6.600009918212891","6.600009918212891","6.600009918212891"
"65","6.969083309173584","6.969083309173584","6.969083309173584","6.980926990509033","6.980926990509033","6.980926990509033","6.557056427001953","6.557056427001953","6.557056427001953"
"67","6.957428455352783","6.957428455352783","6.957428455352783","NaN","","","6.545200824737549","6.545200824737549","6.545200824737549"
"69","6.883064270019531","6.883064270019531","6.883064270019531","6.867923736572266","6.867923736572266","6.867923736572266","6.474107265472412","6.474107265472412","6.474107265472412"
"71","6.851937294006348","6.851937294006348","6.851937294006348","6.865583896636963","6.865583896636963","6.865583896636963","6.4739532470703125","6.4739532470703125","6.4739532470703125"
"73","NaN","","","6.791865825653076","6.791865825653076","6.791865825653076","6.429503440856934","6.429503440856934","6.429503440856934"
"75","6.775928497314453","6.775928497314453","6.775928497314453","6.78027868270874","6.78027868270874","6.78027868270874","6.443100929260254","6.443100929260254","6.443100929260254"
"77","6.759708881378174","6.759708881378174","6.759708881378174","6.748216152191162","6.748216152191162","6.748216152191162","6.402909755706787","6.402909755706787","6.402909755706787"
"79","6.779727935791016","6.779727935791016","6.779727935791016","6.736896991729736","6.736896991729736","6.736896991729736","6.415018081665039","6.415018081665039","6.415018081665039"
