"Step","base_no_upsampling - train/loss","base_no_upsampling - train/loss__MIN","base_no_upsampling - train/loss__MAX"
"0","10.4687","10.4687","10.4687"
"2","9.476","9.476","9.476"
"4","8.9375","8.9375","8.9375"
"6","8.5161","8.5161","8.5161"
"8","8.1555","8.1555","8.1555"
"10","7.9297","7.9297","7.9297"
"12","7.7708","7.7708","7.7708"
"14","7.6325","7.6325","7.6325"
"16","7.5469","7.5469","7.5469"
"18","7.5073","7.5073","7.5073"
"20","7.4486","7.4486","7.4486"
"22","7.4005","7.4005","7.4005"
"24","7.3744","7.3744","7.3744"
"26","7.331","7.331","7.331"
"28","7.287","7.287","7.287"
"30","7.261","7.261","7.261"
"32","7.2429","7.2429","7.2429"
"34","7.2092","7.2092","7.2092"
"36","7.1403","7.1403","7.1403"
"38","7.1247","7.1247","7.1247"
"40","7.0856","7.0856","7.0856"
"42","7.0306","7.0306","7.0306"
"44","6.9595","6.9595","6.9595"
"46","6.9019","6.9019","6.9019"
"48","6.9248","6.9248","6.9248"
"50","6.8687","6.8687","6.8687"
"52","6.8244","6.8244","6.8244"
"54","6.7943","6.7943","6.7943"
"56","6.7693","6.7693","6.7693"
"58","6.7347","6.7347","6.7347"
"60","6.691","6.691","6.691"
"62","6.6205","6.6205","6.6205"
"64","6.6009","6.6009","6.6009"
"66","6.6188","6.6188","6.6188"
"68","6.5732","6.5732","6.5732"
"70","6.5973","6.5973","6.5973"
"72","6.4764","6.4764","6.4764"
"74","6.5079","6.5079","6.5079"
"76","6.4646","6.4646","6.4646"
"78","6.452","6.452","6.452"
"80","6.4329","6.4329","6.4329"
"82","6.4222","6.4222","6.4222"
"84","6.4148","6.4148","6.4148"
"86","6.3828","6.3828","6.3828"
"88","6.3845","6.3845","6.3845"
"90","6.3167","6.3167","6.3167"
"92","6.3583","6.3583","6.3583"
"94","6.3337","6.3337","6.3337"
"96","6.2815","6.2815","6.2815"
"98","6.2622","6.2622","6.2622"
"100","6.2721","6.2721","6.2721"
"102","6.2657","6.2657","6.2657"
"104","6.222","6.222","6.222"
"106","6.2318","6.2318","6.2318"
"108","6.1944","6.1944","6.1944"
"110","6.187","6.187","6.187"
"112","6.2183","6.2183","6.2183"
"114","6.2135","6.2135","6.2135"
"116","6.1652","6.1652","6.1652"
"118","6.1434","6.1434","6.1434"
"120","6.0771","6.0771","6.0771"
"122","6.1188","6.1188","6.1188"
"124","6.1057","6.1057","6.1057"
"126","6.1233","6.1233","6.1233"
"128","6.1242","6.1242","6.1242"
"130","6.1096","6.1096","6.1096"
"132","6.0991","6.0991","6.0991"
"134","6.062","6.062","6.062"
"136","6.0306","6.0306","6.0306"
"138","6.0095","6.0095","6.0095"
"140","6.0554","6.0554","6.0554"
"142","6.0661","6.0661","6.0661"
"144","6.0284","6.0284","6.0284"
"146","6.0423","6.0423","6.0423"
"148","6.0229","6.0229","6.0229"
"150","5.9633","5.9633","5.9633"
"152","5.9582","5.9582","5.9582"
"154","6.0166","6.0166","6.0166"
"156","5.9782","5.9782","5.9782"
"158","5.9613","5.9613","5.9613"
"160","6.0122","6.0122","6.0122"
"162","5.9925","5.9925","5.9925"
"164","5.9169","5.9169","5.9169"
"166","5.9219","5.9219","5.9219"
"168","5.917","5.917","5.917"
"170","5.9508","5.9508","5.9508"
"172","5.9191","5.9191","5.9191"
"174","5.9406","5.9406","5.9406"
"176","5.9412","5.9412","5.9412"
"178","5.9634","5.9634","5.9634"
"180","5.8622","5.8622","5.8622"
"182","5.8915","5.8915","5.8915"
"184","5.9161","5.9161","5.9161"
"186","5.8772","5.8772","5.8772"
"188","5.9016","5.9016","5.9016"
"190","5.864","5.864","5.864"
"192","5.9449","5.9449","5.9449"
"194","5.8884","5.8884","5.8884"
"196","5.8205","5.8205","5.8205"
